Strain	Cluster_ID	Main_cluster	Sub_cluster	Clonal_complex
HIMB1631_Ia.3.VI	0.0	0	0	HIMB1631_Ia.3.VI,HIMB1577_Ia.3.VI
HIMB1577_Ia.3.VI	0.0	0	0	HIMB1631_Ia.3.VI,HIMB1577_Ia.3.VI
HIMB1662_Ia.3.VI	0.0	0	0	HIMB1662_Ia.3.VI
AG-912-I02_Ib.1.III	1.0	1	0	AG-912-I02_Ib.1.III
AG-909-F14_Ib.1.III	1.0	1	0	AG-909-F14_Ib.1.III
AG-894-L13_Ia.4.N8	2.0	2	0	AG-894-L13_Ia.4.N8
AG-895-J19_Ia.4.N8	2.0	2	0	AG-895-J19_Ia.4.N8
AG-892-F15_Ib.1.III	3.0	3	0	AG-892-F15_Ib.1.III
AG-897-O16_Ib.1.III	3.0	3	0	AG-897-O16_Ib.1.III
AG-900-G16_Ib.1.III	3.0	3	0	AG-900-G16_Ib.1.III
AG-919-L02_Ia.4.II	4.0	4	0	AG-919-L02_Ia.4.II
AG-918-G06_Ia.4.II	4.0	4	0	AG-918-G06_Ia.4.II
AG-919-C02_Ia.4.II	4.0	4	0	AG-919-C02_Ia.4.II
HTCC1013_Ia.1.I	5.0	5	0	HTCC1013_Ia.1.I
HTCC1062_Ia.1.I	5.0	5	0	HTCC1062_Ia.1.I
HTCC1040_Ia.1.I	5.0	5	0	HTCC1040_Ia.1.I
AG-905-O08_Ib.2.N7	6.0	6	0	AG-905-O08_Ib.2.N7
AG-916-G09_Ib.2.N7	6.0	6	0	AG-916-G09_Ib.2.N7
AG-903-L07_Ib.2.N7	6.0	6	0	AG-903-L07_Ib.2.N7
AG-894-E10_Ib.1.III	7.0	7	0	AG-894-E10_Ib.1.III
AG-892-B11_Ib.1.III	7.0	7	0	AG-892-B11_Ib.1.III
HIMB1549_Ia.3.III	8.0	8	0	HIMB1549_Ia.3.III
HIMB1505_Ia.3.III	8.0	8	0	HIMB1505_Ia.3.III
HIMB1527_Ia.3.III	8.0	8	0	HIMB1527_Ia.3.III
HIMB1709_Ia.3.VI	9.0	9	0	HIMB1709_Ia.3.VI
HIMB1623_Ia.3.VI	9.0	9	0	HIMB1623_Ia.3.VI
AG-917-C08_Ia.3.VII	10.0	10	0	AG-917-C08_Ia.3.VII
AG-913-C03_Ia.3.VII	10.0	10	0	AG-913-C03_Ia.3.VII
AG-918-L21_Ia.3.VII	10.0	10	0	AG-918-L21_Ia.3.VII
AG-894-C14_Ia.3.VII	10.0	10	0	AG-894-C14_Ia.3.VII
AG-917-P07_Ia.3.VII	10.0	10	0	AG-917-P07_Ia.3.VII
AG-359-C09_Ia.3.VII	10.0	10	0	AG-359-C09_Ia.3.VII
AG-414-O11_Ia.3.VII	10.0	10	0	AG-414-O11_Ia.3.VII
AG-918-K09_Ia.3.VII	10.0	10	0	AG-918-K09_Ia.3.VII
AG-917-M22_Ia.3.VII	10.0	10	0	AG-917-M22_Ia.3.VII
AG-904-F17_Ia.3.VII	10.0	10	0	AG-904-F17_Ia.3.VII
AG-916-M15_Ia.3.VII	10.0	10	0	AG-916-M15_Ia.3.VII
